"","Name","Date","state","locality","site","strata","Latitude","Longitude","yr","Image ID","BRY","CNCA","CNTR","CRB","MOB","MOG","SP","WPOT","SC","Unc","MAA","MAEC","MAEF","MAEN","MAF","MAG","MALA","MALCB","MAS"
"AMP30005","AMP30005.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42192333,-65.04214167,2023,3430810,0,0,0,0,36,0,0,0,2,0,46,0,0,0,1,0,0,0,15
"AMP30006","AMP30006.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42193333,-65.04209333,2023,3430809,0,0,0,0,8,0,0,0,0,0,54,0,0,0,3,0,0,0,35
"AMP30007","AMP30007.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42190833,-65.04209,2023,3430808,0,0,0,1,38,0,0,0,7,0,51,0,0,1,0,0,0,0,2
"AMP30008","AMP30008.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42186167,-65.04207,2023,3430807,0,0,0,0,11,0,0,0,5,0,80,0,0,0,1,0,0,0,3
"AMP30009","AMP30009.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42185333,-65.042085,2023,3430806,0,0,0,0,35,0,0,4,16,0,43,0,0,0,1,0,0,0,1
"AMP30010","AMP30010.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42184667,-65.04209833,2023,3430805,0,0,0,0,6,0,0,0,6,0,73,0,0,0,10,0,0,0,5
"AMP30011","AMP30011.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42184667,-65.04209833,2023,3430804,0,0,0,0,23,0,0,0,22,0,51,0,0,0,0,0,0,0,4
"AMP30012","AMP30012.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42185167,-65.04208833,2023,3430803,0,0,0,1,11,0,0,0,6,0,75,0,0,1,2,0,0,0,4
"AMP30013","AMP30013.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42185,-65.04208833,2023,3430801,0,0,0,0,10,0,0,0,5,0,78,0,0,6,0,0,0,0,1
"AMP30014","AMP30014.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42185,-65.04209,2023,3430802,0,0,0,0,41,0,0,0,4,0,53,0,0,0,1,0,0,0,1
"AMP30015","AMP30015.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42185,-65.04209,2023,3430800,0,0,0,0,25,0,0,0,6,0,67,0,0,0,0,0,0,0,2
"AMP30016","AMP30016.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42179167,-65.042155,2023,3430799,0,0,0,2,31,0,0,0,8,0,41,0,0,9,1,0,0,0,8
"AMP30017","AMP30017.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42178167,-65.04219667,2023,3430798,0,0,0,0,33,0,0,0,7,0,56,0,0,2,0,0,0,0,2
"AMP30018","AMP30018.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42176,-65.04222,2023,3430797,0,0,0,0,26,0,0,3,0,0,62,0,0,0,5,0,0,0,4
"AMP30019","AMP30019.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42175833,-65.04220333,2023,3430796,0,0,0,0,9,0,0,0,5,0,70,0,0,5,0,0,0,0,11
"AMP30020","AMP30020.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42175833,-65.042225,2023,3430795,0,0,0,4,15,1,0,0,4,0,68,0,0,0,3,0,0,0,5
"AMP30021","AMP30021.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42175,-65.04222833,2023,3430794,0,0,0,1,13,0,0,0,2,0,82,0,0,0,1,0,0,0,1
"AMP30022","AMP30022.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.421735,-65.04223667,2023,3430793,0,0,0,1,17,0,0,1,5,0,75,0,0,0,0,0,0,0,1
"AMP30023","AMP30023.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42170667,-65.04222,2023,3430792,0,0,0,0,7,0,0,0,0,0,78,0,0,3,8,0,0,0,4
"AMP30024","AMP30024.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42170833,-65.04222,2023,3430791,0,0,0,0,19,0,0,0,1,0,72,0,0,5,1,0,0,0,2
"AMP30025","AMP30025.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42170833,-65.04221833,2023,3430790,0,0,0,5,26,1,0,0,4,0,57,0,0,6,1,0,0,0,0
"AMP30026","AMP30026.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42170833,-65.04221833,2023,3430789,0,0,0,0,11,0,0,0,5,0,83,0,0,0,1,0,0,0,0
"AMP30027","AMP30027.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42170833,-65.04221833,2023,3430788,0,0,0,1,35,0,0,1,7,0,54,0,0,1,0,0,0,0,1
"AMP30028","AMP30028.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42168833,-65.04218833,2023,3430787,0,0,0,2,9,1,0,1,2,0,82,0,0,2,0,0,0,0,1
"AMP30029","AMP30029.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.421685,-65.04216667,2023,3430786,0,0,0,3,33,0,0,0,4,0,53,0,0,5,0,0,0,0,2
"AMP30030","AMP30030.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42168833,-65.04214167,2023,3430785,0,0,0,0,22,0,0,0,5,0,67,1,0,0,5,0,0,0,0
"AMP30031","AMP30031.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42169167,-65.042125,2023,3430784,0,0,0,3,36,0,0,0,9,0,16,0,0,35,1,0,0,0,0
"AMP30032","AMP30032.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42164667,-65.04202333,2023,3430783,0,0,0,0,25,0,0,3,6,0,60,5,0,1,0,0,0,0,0
"AMP30033","AMP30033.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42162167,-65.04200333,2023,3430782,0,0,0,1,23,1,0,2,3,0,63,0,0,7,0,0,0,0,0
"AMP30034","AMP30034.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42162167,-65.04200333,2023,3430781,0,0,0,1,65,1,0,0,2,0,24,0,0,6,0,0,0,0,1
"AMP30035","AMP30035.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42162167,-65.04200167,2023,3430780,0,0,0,0,21,1,0,1,3,0,68,0,0,3,1,0,0,0,2
"AMP30036","AMP30036.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42162167,-65.04200167,2023,3430779,0,0,0,0,35,1,0,0,9,0,43,0,0,11,0,0,0,0,1
"AMP30037","AMP30037.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.421615,-65.04201167,2023,3430778,0,0,0,1,23,0,0,0,3,0,67,0,0,0,1,0,0,0,5
"AMP30038","AMP30038.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42160667,-65.04209,2023,3430777,0,0,0,8,18,0,0,0,15,0,57,0,0,0,2,0,0,0,0
"AMP30039","AMP30039.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42158833,-65.042105,2023,3430776,0,0,0,1,28,0,0,0,9,0,57,0,0,2,0,0,0,0,3
"AMP30040","AMP30040.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42158667,-65.04213333,2023,3430775,0,0,0,0,8,0,0,0,0,0,89,0,0,0,0,0,0,0,3
"AMP30041","AMP30041.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42157833,-65.04213833,2023,3430774,0,0,0,0,6,0,0,0,9,0,85,0,0,0,0,0,0,0,0
"AMP30042","AMP30042.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42161167,-65.04213667,2023,3430773,0,0,0,0,22,0,0,1,12,0,60,0,0,4,0,0,0,0,1
"AMP30043","AMP30043.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42161167,-65.04216167,2023,3430772,0,0,0,0,1,0,0,0,2,0,96,0,0,1,0,0,0,0,0
"AMP30044","AMP30044.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42162167,-65.04216667,2023,3430771,0,0,0,0,5,1,0,0,1,0,92,0,0,1,0,0,0,0,0
"AMP30045","AMP30045.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42162667,-65.04218833,2023,3430770,0,0,0,3,7,0,0,0,5,0,84,0,0,1,0,0,0,0,0
"AMP30046","AMP30046.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.421625,-65.04216667,2023,3430769,0,0,0,3,19,0,0,0,11,0,66,0,0,0,0,0,0,0,1
"AMP30047","AMP30047.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42163333,-65.04219,2023,3430768,0,0,0,1,14,0,0,0,8,0,73,0,0,0,4,0,0,0,0
"AMP30048","AMP30048.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42163833,-65.04220333,2023,3430767,0,0,0,0,24,0,0,0,0,0,74,0,0,0,0,0,0,0,2
"AMP30049","AMP30049.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42163833,-65.04220667,2023,3430766,0,0,0,2,13,0,0,0,8,0,66,0,0,3,6,0,0,0,2
"AMP30050","AMP30050.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42163,-65.0422,2023,3430765,0,0,0,1,5,0,0,0,5,0,88,0,0,0,0,0,0,0,1
"AMP30051","AMP30051.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42161833,-65.04220833,2023,3430764,0,0,0,0,6,0,0,0,3,0,90,0,0,0,0,0,0,0,1
"AMP30052","AMP30052.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.421615,-65.042195,2023,3430763,0,0,0,0,1,0,0,0,2,0,94,0,0,0,2,0,0,0,1
"AMP30053","AMP30053.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42161833,-65.04219667,2023,3430762,0,0,0,2,19,0,0,0,7,0,68,0,0,1,0,0,0,0,3
"AMP30054","AMP30054.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","LOWTIDE",-41.42160667,-65.04221667,2023,3430761,0,0,0,0,6,0,0,0,6,0,88,0,0,0,0,0,0,0,0
"AMP30056","AMP30056.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","MIDTIDE",-41.42126833,-65.04237167,2023,3430760,0,0,0,7,90,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"AMP30057","AMP30057.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","MIDTIDE",-41.42125667,-65.042375,2023,3430759,0,0,0,13,82,0,0,0,1,0,0,0,0,2,1,0,0,0,1
"AMP30058","AMP30058.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","MIDTIDE",-41.42125667,-65.042375,2023,3430758,0,0,0,4,92,1,0,0,3,0,0,0,0,0,0,0,0,0,0
"AMP30059","AMP30059.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","MIDTIDE",-41.42125667,-65.042375,2023,3430757,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AMP30060","AMP30060.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","MIDTIDE",-41.42125667,-65.04237167,2023,3430756,0,0,0,2,96,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"AMP30061","AMP30061.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","MIDTIDE",-41.42125667,-65.04236667,2023,3430755,0,0,0,3,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AMP30062","AMP30062.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","MIDTIDE",-41.42125833,-65.04236333,2023,3430754,0,0,0,6,89,0,0,0,4,0,0,0,0,1,0,0,0,0,0
"AMP30063","AMP30063.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","MIDTIDE",-41.42125333,-65.04236667,2023,3430753,0,0,0,2,96,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"AMP30065","AMP30065.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","MIDTIDE",-41.421255,-65.04236833,2023,3430752,0,0,0,3,96,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AMP30066","AMP30066.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","MIDTIDE",-41.42124833,-65.042365,2023,3430751,0,0,0,2,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AMP30067","AMP30067.jpg",2023-04-29,"RIO NEGRO","ISLOTE LOBOS","LA PASTOSA","MIDTIDE",-41.42124833,-65.042365,2023,3430750,0,0,0,3,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
